image,label
train_ok_0.jpeg,0
train_ok_1.jpeg,0
train_ok_2.jpeg,0
train_ok_3.jpeg,0
train_ok_4.jpeg,0
train_ok_5.jpeg,0
train_ok_6.jpeg,0
train_ok_7.jpeg,0
train_ok_8.jpeg,0
train_ok_9.jpeg,0
train_ok_10.jpeg,0
train_ok_11.jpeg,0
train_ok_12.jpeg,0
train_ok_13.jpeg,0
train_ok_14.jpeg,0
train_ok_15.jpeg,0
train_ok_16.jpeg,0
train_ok_17.jpeg,0
train_ok_18.jpeg,0
train_ok_19.jpeg,0
train_ok_20.jpeg,0
train_ok_21.jpeg,0
train_ok_22.jpeg,0
train_ok_23.jpeg,0
train_ok_24.jpeg,0
train_ok_25.jpeg,0
train_ok_26.jpeg,0
train_ok_27.jpeg,0
train_ok_28.jpeg,0
train_ok_29.jpeg,0
train_ok_30.jpeg,0
train_ok_31.jpeg,0
train_ok_32.jpeg,0
train_ok_33.jpeg,0
train_ok_34.jpeg,0
train_ok_35.jpeg,0
train_ok_36.jpeg,0
train_ok_37.jpeg,0
train_ok_38.jpeg,0
train_ok_39.jpeg,0
train_ok_40.jpeg,0
train_ok_41.jpeg,0
train_ok_42.jpeg,0
train_ok_43.jpeg,0
train_ok_44.jpeg,0
train_ok_45.jpeg,0
train_ok_46.jpeg,0
train_ok_47.jpeg,0
train_ok_48.jpeg,0
train_ok_49.jpeg,0
train_ok_50.jpeg,0
train_ok_51.jpeg,0
train_ok_52.jpeg,0
train_ok_53.jpeg,0
train_ok_54.jpeg,0
train_ok_55.jpeg,0
train_ok_56.jpeg,0
train_ok_57.jpeg,0
train_ok_58.jpeg,0
train_ok_59.jpeg,0
train_ok_60.jpeg,0
train_ok_61.jpeg,0
train_ok_62.jpeg,0
train_ok_63.jpeg,0
train_ok_64.jpeg,0
train_ok_65.jpeg,0
train_ok_66.jpeg,0
train_ok_67.jpeg,0
train_ok_68.jpeg,0
train_ok_69.jpeg,0
train_ok_70.jpeg,0
train_ok_71.jpeg,0
train_ok_72.jpeg,0
train_ok_73.jpeg,0
train_ok_74.jpeg,0
train_ok_75.jpeg,0
train_ok_76.jpeg,0
train_ok_77.jpeg,0
train_ok_78.jpeg,0
train_ok_79.jpeg,0
train_ok_80.jpeg,0
train_ok_81.jpeg,0
train_ok_82.jpeg,0
train_ok_83.jpeg,0
train_ok_84.jpeg,0
train_ok_85.jpeg,0
train_ok_86.jpeg,0
train_ok_87.jpeg,0
train_ok_88.jpeg,0
train_ok_89.jpeg,0
train_ok_90.jpeg,0
train_ok_91.jpeg,0
train_ok_92.jpeg,0
train_ok_93.jpeg,0
train_ok_94.jpeg,0
train_ok_95.jpeg,0
train_ok_96.jpeg,0
train_ok_97.jpeg,0
train_ok_98.jpeg,0
train_ok_99.jpeg,0
train_ok_100.jpeg,0
train_ok_101.jpeg,0
train_ok_102.jpeg,0
train_ok_103.jpeg,0
train_ok_104.jpeg,0
train_ok_105.jpeg,0
train_ok_106.jpeg,0
train_ok_107.jpeg,0
train_ok_108.jpeg,0
train_ok_109.jpeg,0
train_ok_110.jpeg,0
train_ok_111.jpeg,0
train_ok_112.jpeg,0
train_ok_113.jpeg,0
train_ok_114.jpeg,0
train_ok_115.jpeg,0
train_ok_116.jpeg,0
train_ok_117.jpeg,0
train_ok_118.jpeg,0
train_ok_119.jpeg,0
train_ok_120.jpeg,0
train_ok_121.jpeg,0
train_ok_122.jpeg,0
train_ok_123.jpeg,0
train_ok_124.jpeg,0
train_ok_125.jpeg,0
train_ok_126.jpeg,0
train_ok_127.jpeg,0
train_ok_128.jpeg,0
